Gene,Gene_type,Length_bp,A_count,T_count,G_count,C_count,N_count,AT_percent,GC_percent
trnA-UGC,tRNA,73,12,19,23,19,0,42.47,57.53
trnC-GCA,tRNA,71,12,16,24,19,0,39.44,60.56
trnD-GUC,tRNA,74,14,14,24,22,0,37.84,62.16
trnE-UUC,tRNA,73,13,19,22,19,0,43.84,56.16
trnE-UUC__copy2,tRNA,72,12,16,24,20,0,38.89,61.11
trnF-GAA,tRNA,73,18,17,21,17,0,47.95,52.05
trnG-GCC,tRNA,71,16,20,20,15,0,50.7,49.3
trnH-GUG,tRNA,74,15,17,23,19,0,43.24,56.76
trnK-UUU,tRNA,73,16,17,19,21,0,45.21,54.79
trnL-CAA,tRNA,81,21,18,25,17,0,48.15,51.85
trnL-UAA,tRNA,85,24,20,21,20,0,51.76,48.24
trnL-UAG,tRNA,80,17,18,27,18,0,43.75,56.25
trnM-CAU,tRNA,74,17,17,21,19,0,45.95,54.05
trnN-GUU,tRNA,72,13,20,24,15,0,45.83,54.17
trnP-UGG,tRNA,74,15,22,22,15,0,50.0,50.0
trnQ-UUG,tRNA,72,11,17,25,19,0,38.89,61.11
trnR-ACG,tRNA,74,14,14,24,22,0,37.84,62.16
trnR-UCU,tRNA,72,18,22,18,14,0,55.56,44.44
trnS-CGA,tRNA,92,21,26,22,23,0,51.09,48.91
trnS-GCU,tRNA,88,18,25,26,19,0,48.86,51.14
trnS-GGA,tRNA,87,15,25,29,18,0,45.98,54.02
trnS-UGA,tRNA,93,23,25,25,20,0,51.61,48.39
trnT-GGU,tRNA,72,19,17,20,16,0,50.0,50.0
trnT-UGU,tRNA,73,14,20,21,18,0,46.58,53.42
trnV-GAC,tRNA,72,18,19,20,15,0,51.39,48.61
trnV-UAC,tRNA,73,17,18,20,18,0,47.95,52.05
trnW-CCA,tRNA,74,18,17,19,20,0,47.3,52.7
trnY-GUA,tRNA,84,18,20,26,20,0,45.24,54.76
